org_name,merchant_name,mcc,address,geo_coordinates,org_description,link
ВТБ банк, VTB24-Online,6012,no address,no coordinates," Банк ВТБ — российский универсальный коммерческий банк c государственным участием. Банк ВТБ является головной структурой Группы ВТБ. Рыночная капитализация банка на август 2021 года — 648 миллиардов рублей (8,8 миллиардов долларов США). Клиентами банка по состоянию на 2020 год являются 13,9 миллионов человек и более 500 тысяч юридических лиц. По состоянию на 2020 год банк выдал системообразующим предприятиям более 1 триллиона рублей кредитов.С 13 февраля 2023 года банк предоставил возможность переводить деньги в китайских юанях со своих счетов в другие банки РФ, удерживая комиссию 1 % от суммы.Банк принял решение о допэмиссии в объёме 30,2 трлн акций, что в 2,5 раза больше прежнего объёма.",https://merchantpoint.ru/brand/1
ВТБ банк, VB24,6012,no address,no coordinates," Банк ВТБ — российский универсальный коммерческий банк c государственным участием. Банк ВТБ является головной структурой Группы ВТБ. Рыночная капитализация банка на август 2021 года — 648 миллиардов рублей (8,8 миллиардов долларов США). Клиентами банка по состоянию на 2020 год являются 13,9 миллионов человек и более 500 тысяч юридических лиц. По состоянию на 2020 год банк выдал системообразующим предприятиям более 1 триллиона рублей кредитов.С 13 февраля 2023 года банк предоставил возможность переводить деньги в китайских юанях со своих счетов в другие банки РФ, удерживая комиссию 1 % от суммы.Банк принял решение о допэмиссии в объёме 30,2 трлн акций, что в 2,5 раза больше прежнего объёма.",https://merchantpoint.ru/brand/1
ВТБ банк, MA0000253844,6211,no address,no coordinates," Банк ВТБ — российский универсальный коммерческий банк c государственным участием. Банк ВТБ является головной структурой Группы ВТБ. Рыночная капитализация банка на август 2021 года — 648 миллиардов рублей (8,8 миллиардов долларов США). Клиентами банка по состоянию на 2020 год являются 13,9 миллионов человек и более 500 тысяч юридических лиц. По состоянию на 2020 год банк выдал системообразующим предприятиям более 1 триллиона рублей кредитов.С 13 февраля 2023 года банк предоставил возможность переводить деньги в китайских юанях со своих счетов в другие банки РФ, удерживая комиссию 1 % от суммы.Банк принял решение о допэмиссии в объёме 30,2 трлн акций, что в 2,5 раза больше прежнего объёма.",https://merchantpoint.ru/brand/1
ВТБ банк," VB24 D. 14, UL. SOVETS",6536,no address,no coordinates," Банк ВТБ — российский универсальный коммерческий банк c государственным участием. Банк ВТБ является головной структурой Группы ВТБ. Рыночная капитализация банка на август 2021 года — 648 миллиардов рублей (8,8 миллиардов долларов США). Клиентами банка по состоянию на 2020 год являются 13,9 миллионов человек и более 500 тысяч юридических лиц. По состоянию на 2020 год банк выдал системообразующим предприятиям более 1 триллиона рублей кредитов.С 13 февраля 2023 года банк предоставил возможность переводить деньги в китайских юанях со своих счетов в другие банки РФ, удерживая комиссию 1 % от суммы.Банк принял решение о допэмиссии в объёме 30,2 трлн акций, что в 2,5 раза больше прежнего объёма.",https://merchantpoint.ru/brand/1
ВТБ банк, VTB24-Online-E,6012,no address,no coordinates," Банк ВТБ — российский универсальный коммерческий банк c государственным участием. Банк ВТБ является головной структурой Группы ВТБ. Рыночная капитализация банка на август 2021 года — 648 миллиардов рублей (8,8 миллиардов долларов США). Клиентами банка по состоянию на 2020 год являются 13,9 миллионов человек и более 500 тысяч юридических лиц. По состоянию на 2020 год банк выдал системообразующим предприятиям более 1 триллиона рублей кредитов.С 13 февраля 2023 года банк предоставил возможность переводить деньги в китайских юанях со своих счетов в другие банки РФ, удерживая комиссию 1 % от суммы.Банк принял решение о допэмиссии в объёме 30,2 трлн акций, что в 2,5 раза больше прежнего объёма.",https://merchantpoint.ru/brand/1
ВТБ банк, Card2Card,6012,no address,no coordinates," Банк ВТБ — российский универсальный коммерческий банк c государственным участием. Банк ВТБ является головной структурой Группы ВТБ. Рыночная капитализация банка на август 2021 года — 648 миллиардов рублей (8,8 миллиардов долларов США). Клиентами банка по состоянию на 2020 год являются 13,9 миллионов человек и более 500 тысяч юридических лиц. По состоянию на 2020 год банк выдал системообразующим предприятиям более 1 триллиона рублей кредитов.С 13 февраля 2023 года банк предоставил возможность переводить деньги в китайских юанях со своих счетов в другие банки РФ, удерживая комиссию 1 % от суммы.Банк принял решение о допэмиссии в объёме 30,2 трлн акций, что в 2,5 раза больше прежнего объёма.",https://merchantpoint.ru/brand/1
СберБанк, SBOL_CARD2CARD,6538,no address,no coordinates," Сбербанк Онлайн — мобильный банк Сбербанка, представленный браузерной версией и приложениями для операционных систем iOS и Android. Первоначально запущен в апреле 2008 года как сервис «Электронная Сберкасса» для управления сберегательными книжками.",https://merchantpoint.ru/brand/1
СберБанк, SBOL,6536,no address,no coordinates," Сбербанк Онлайн — мобильный банк Сбербанка, представленный браузерной версией и приложениями для операционных систем iOS и Android. Первоначально запущен в апреле 2008 года как сервис «Электронная Сберкасса» для управления сберегательными книжками.",https://merchantpoint.ru/brand/1
СберБанк, SBERBANK_CARD2CARD,6538,no address,no coordinates," Сбербанк Онлайн — мобильный банк Сбербанка, представленный браузерной версией и приложениями для операционных систем iOS и Android. Первоначально запущен в апреле 2008 года как сервис «Электронная Сберкасса» для управления сберегательными книжками.",https://merchantpoint.ru/brand/1
СберБанк, SBOL_CARD2CARD,6012,no address,no coordinates," Сбербанк Онлайн — мобильный банк Сбербанка, представленный браузерной версией и приложениями для операционных систем iOS и Android. Первоначально запущен в апреле 2008 года как сервис «Электронная Сберкасса» для управления сберегательными книжками.",https://merchantpoint.ru/brand/1
СберБанк, ATM 60016527,6011,no address,no coordinates," Сбербанк Онлайн — мобильный банк Сбербанка, представленный браузерной версией и приложениями для операционных систем iOS и Android. Первоначально запущен в апреле 2008 года как сервис «Электронная Сберкасса» для управления сберегательными книжками.",https://merchantpoint.ru/brand/1
Bolt, BOLT N1 TM12,4789,no address,no coordinates," Bolt ранее известная как Taxify — эстонская частная компания, создатель мобильного приложения для вызова такси и других сервисов. Офис компании находится в Таллине.",https://merchantpoint.ru/brand/1
Bolt, MA0000426372,5411,no address,no coordinates," Bolt ранее известная как Taxify — эстонская частная компания, создатель мобильного приложения для вызова такси и других сервисов. Офис компании находится в Таллине.",https://merchantpoint.ru/brand/1
Bolt, BOLT N1 TM24,4789,no address,no coordinates," Bolt ранее известная как Taxify — эстонская частная компания, создатель мобильного приложения для вызова такси и других сервисов. Офис компании находится в Таллине.",https://merchantpoint.ru/brand/1
Bolt, bolt.eu,4121,no address,no coordinates," Bolt ранее известная как Taxify — эстонская частная компания, создатель мобильного приложения для вызова такси и других сервисов. Офис компании находится в Таллине.",https://merchantpoint.ru/brand/1
Bolt, CRV*BOLT.EU /OU/190807,4121,no address,no coordinates," Bolt ранее известная как Taxify — эстонская частная компания, создатель мобильного приложения для вызова такси и других сервисов. Офис компании находится в Таллине.",https://merchantpoint.ru/brand/1
Bolt, BOLT N1 TM7,4789,no address,no coordinates," Bolt ранее известная как Taxify — эстонская частная компания, создатель мобильного приложения для вызова такси и других сервисов. Офис компании находится в Таллине.",https://merchantpoint.ru/brand/1
Airbnb, AIRBNB.COM,7011,no address,no coordinates, Airbnb — онлайн-площадка для размещения и поиска краткосрочной аренды частного жилья по всему миру.,https://merchantpoint.ru/brand/1
Airbnb, Airbnb Payments India,7011,no address,no coordinates, Airbnb — онлайн-площадка для размещения и поиска краткосрочной аренды частного жилья по всему миру.,https://merchantpoint.ru/brand/1
Airbnb, AIRBNB GIFTCARD,5999,no address,no coordinates, Airbnb — онлайн-площадка для размещения и поиска краткосрочной аренды частного жилья по всему миру.,https://merchantpoint.ru/brand/1
Airbnb, AIRBNB,7011,no address,no coordinates, Airbnb — онлайн-площадка для размещения и поиска краткосрочной аренды частного жилья по всему миру.,https://merchantpoint.ru/brand/1
Airbnb, AIRBNB,4722,no address,no coordinates, Airbnb — онлайн-площадка для размещения и поиска краткосрочной аренды частного жилья по всему миру.,https://merchantpoint.ru/brand/1
Купибилет, KUPIBILET US,4722,no address,no coordinates, ,https://merchantpoint.ru/brand/1
Купибилет, Kupibilet SUHB09WW,4121,no address,no coordinates, ,https://merchantpoint.ru/brand/1
Купибилет, kupibilet,4511,no address,no coordinates, ,https://merchantpoint.ru/brand/1
Купибилет, tch.kupibilet.ru,4511,no address,no coordinates, ,https://merchantpoint.ru/brand/1
Купибилет, Kupibilet,4722,no address,no coordinates, ,https://merchantpoint.ru/brand/1
Uber, BC UBER CREDITS,4121,no address,no coordinates," Uber Technologies Inc.; Uber — американская международная публичная компания из Сан-Франциско, создавшая одноимённое мобильное приложение для поиска, вызова и оплаты такси или частных водителей и доставки еды.",https://merchantpoint.ru/brand/1
Uber, CRV*UBER TRIP HELP.UBER.C,4121,no address,no coordinates," Uber Technologies Inc.; Uber — американская международная публичная компания из Сан-Франциско, создавшая одноимённое мобильное приложение для поиска, вызова и оплаты такси или частных водителей и доставки еды.",https://merchantpoint.ru/brand/1
Uber, YM*Uber,4121,no address,no coordinates," Uber Technologies Inc.; Uber — американская международная публичная компания из Сан-Франциско, создавшая одноимённое мобильное приложение для поиска, вызова и оплаты такси или частных водителей и доставки еды.",https://merchantpoint.ru/brand/1
Uber, CRV*UBER TRIP HELP.UBE,4121,no address,no coordinates," Uber Technologies Inc.; Uber — американская международная публичная компания из Сан-Франциско, создавшая одноимённое мобильное приложение для поиска, вызова и оплаты такси или частных водителей и доставки еды.",https://merchantpoint.ru/brand/1
Uber, MB0000590383,4121,no address,no coordinates," Uber Technologies Inc.; Uber — американская международная публичная компания из Сан-Франциско, создавшая одноимённое мобильное приложение для поиска, вызова и оплаты такси или частных водителей и доставки еды.",https://merchantpoint.ru/brand/1
Uber, BC *UBER CASH,4121,no address,no coordinates," Uber Technologies Inc.; Uber — американская международная публичная компания из Сан-Франциско, создавшая одноимённое мобильное приложение для поиска, вызова и оплаты такси или частных водителей и доставки еды.",https://merchantpoint.ru/brand/1
Utair, Utair Aviat 2981851221,4511,no address,no coordinates," Utair — российская авиакомпания, образующая вместе со своими многочисленными дочерними структурами, такими как ЮТэйр-Вертолётные услуги, ЮТэйр Карго и другими, один из крупнейших в стране авиахолдингов — группу «Ютэйр», занимающимся выполнением пассажирских и грузовых авиарейсов по России и за рубежом.",https://merchantpoint.ru/brand/1
Utair, UTAIR-IVR,4511,no address,no coordinates," Utair — российская авиакомпания, образующая вместе со своими многочисленными дочерними структурами, такими как ЮТэйр-Вертолётные услуги, ЮТэйр Карго и другими, один из крупнейших в стране авиахолдингов — группу «Ютэйр», занимающимся выполнением пассажирских и грузовых авиарейсов по России и за рубежом.",https://merchantpoint.ru/brand/1
Utair, Utair Aviat 2983661402040,4511,no address,no coordinates," Utair — российская авиакомпания, образующая вместе со своими многочисленными дочерними структурами, такими как ЮТэйр-Вертолётные услуги, ЮТэйр Карго и другими, один из крупнейших в стране авиахолдингов — группу «Ютэйр», занимающимся выполнением пассажирских и грузовых авиарейсов по России и за рубежом.",https://merchantpoint.ru/brand/1
